"ما هي أنواع الملفات التي يمكن رفعها على موقع إبراهيم؟","يمكن رفع ملفات JPEG، PNG، وPDF بحد أقصى 5 ميجابايت."
"What types of files can be uploaded to Ibrahim’s website?","You can upload JPEG, PNG, and PDF files, with a maximum size of 5MB."
"كيف يمكنني استعادة كلمة المرور على موقع إبراهيم؟","يمكنك طلب رمز OTP عبر البريد الإلكتروني لإعادة تعيين كلمة المرور من خلال واجهة 'نسيت كلمة المرور'."
"How can I reset my password on Ibrahim’s website?","You can request an OTP via email to reset your password using the 'Forgot Password' interface."
"ما هي وظيفة winston في موقع إبراهيم؟","Winston هو مكتبة تسجيل الأخطاء (logging) تُستخدم لتتبع الأخطاء والأحداث في النظام، مع حفظ السجلات في ملفات error.log وcombined.log."
"What is the role of winston on Ibrahim’s website?","Winston is a logging library used to track errors and system events, storing logs in error.log and combined.log files."
"كيف يتم التحقق من التوكن على موقع إبراهيم؟","يتم التحقق من التوكن باستخدام JWT، مع دعم تحديث التوكن باستخدام Refresh Token إذا انتهى صلاحية التوكن الأصلي."
"How is token verification done on Ibrahim’s website?","Token verification is done using JWT, with support for refreshing tokens using a Refresh Token if the original token expires."
"ما هي وظيفة Cloudinary في موقع إبراهيم؟","Cloudinary يُستخدم لتخزين وإدارة الملفات المرفوعة مثل الصور وملفات PDF، مع دعم لتحميل الملفات بأمان."
"What is the role of Cloudinary on Ibrahim’s website?","Cloudinary is used to store and manage uploaded files like images and PDFs, supporting secure file uploads."
"كيف يمكنني رؤية المشاريع على موقع إبراهيم؟","يمكنك زيارة /api/projects لعرض قائمة المشاريع، بما في ذلك العنوان، الوصف، الصورة، والروابط."
"How can I view projects on Ibrahim’s website?","You can visit /api/projects to view a list of projects, including title, description, image, and links."
"ما هي وظيفة nodemailer في موقع إبراهيم؟","Nodemailer يُستخدم لإرسال رسائل البريد الإلكتروني مثل رموز OTP وإشعارات التعليقات."
"What is the role of nodemailer on Ibrahim’s website?","Nodemailer is used to send emails such as OTP codes and comment notifications."
"كيف يمكنني البحث عن مستخدمين على موقع إبراهيم؟","يمكنك استخدام /api/users/search مع استعلام للبحث عن المستخدمين بناءً على اسم المستخدم أو اللقب."
"How can I search for users on Ibrahim’s website?","You can use /api/users/search with a query to search for users by username or nickname."
"ما هي المهارات التي يعرضها إبراهيم على موقعه؟","إبراهيم يعرض مهارات مثل HTML5، CSS3، JavaScript، TypeScript، Python، PHP، React، Node.js، Django، MongoDB، PostgreSQL، SQL، Git، Docker، Linux، UX/UI، API، وSEO."
"What skills does Ibrahim showcase on his website?","Ibrahim showcases skills like HTML5, CSS3, JavaScript, TypeScript, Python, PHP, React, Node.js, Django, MongoDB, PostgreSQL, SQL, Git, Docker, Linux, UX/UI, API integration, and SEO."
"كيف يمكنني التعليق على مشروع على موقع إبراهيم؟","يمكن للمستخدمين المسجلين التعليق على المشاريع عبر /api/comments مع إضافة نص التعليق وتقييم من 1 إلى 5."
"How can I comment on a project on Ibrahim’s website?","Registered users can comment on projects via /api/comments by adding comment text and a rating from 1 to 5."
"ما هي وظيفة jsPDF في موقع إبراهيم؟","jsPDF يُستخدم لإنشاء ملفات PDF تحتوي على تفاصيل الملف الشخصي مثل التعليم، الخبرة، والمهارات."
"What is the role of jsPDF on Ibrahim’s website?","jsPDF is used to generate PDF files containing profile details such as education, experience, and skills."
"كيف يتم إدارة المستخدمين على موقع إبراهيم؟","المديرون يمكنهم عرض وإدارة المستخدمين عبر /api/users، مع إمكانية حذف المستخدمين والتعليقات."
"How are users managed on Ibrahim’s website?","Admins can view and manage users via /api/users, with the ability to delete users and comments."
"ما هي وظيفة helmet في موقع إبراهيم؟","Helmet يُستخدم لتعزيز أمان الموقع من خلال إعداد رؤوس HTTP للحماية من هجمات مثل XSS."
"What is the role of helmet on Ibrahim’s website?","Helmet is used to enhance website security by setting HTTP headers to protect against attacks like XSS."
"كيف يمكنني التحقق من حالة الموقع؟","يمكنك زيارة /api/health للتحقق من حالة الاتصال بقاعدة البيانات MongoDB والخادم."
"How can I check the website’s status?","You can visit /api/health to check the status of the MongoDB connection and the server."
